n_hor,n_ver,n_tot,eta,S
153,178,331,0.64648438,-0.075528701
150,189,339,0.66210938,-0.11504425
119,220,339,0.66210938,-0.2979351
61,286,347,0.67773438,-0.64841499
40,308,348,0.6796875,-0.77011494
35,331,366,0.71484375,-0.80874317
26,316,342,0.66796875,-0.84795322
0,347,347,0.67773438,-1
0,340,340,0.6640625,-1
9,354,363,0.70898438,-0.95041322
2,356,358,0.69921875,-0.98882682
1,355,356,0.6953125,-0.99438202
2,336,338,0.66015625,-0.98816568
0,353,353,0.68945312,-1
0,349,349,0.68164062,-1
1,351,352,0.6875,-0.99431818
24,319,343,0.66992188,-0.86005831
18,319,337,0.65820312,-0.89317507
40,303,343,0.66992188,-0.76676385
15,349,364,0.7109375,-0.91758242
4,346,350,0.68359375,-0.97714286
5,345,350,0.68359375,-0.97142857
0,349,349,0.68164062,-1
6,343,349,0.68164062,-0.96561605
3,342,345,0.67382812,-0.9826087
19,338,357,0.69726562,-0.89355742
17,328,345,0.67382812,-0.90144928
21,321,342,0.66796875,-0.87719298
19,332,351,0.68554688,-0.89173789
0,351,351,0.68554688,-1
0,347,347,0.67773438,-1
0,351,351,0.68554688,-1
2,350,352,0.6875,-0.98863636
8,329,337,0.65820312,-0.95252226
2,348,350,0.68359375,-0.98857143
1,360,361,0.70507812,-0.99445983
6,342,348,0.6796875,-0.96551724
10,332,342,0.66796875,-0.94152047
15,331,346,0.67578125,-0.9132948
9,331,340,0.6640625,-0.94705882
13,328,341,0.66601562,-0.92375367
24,313,337,0.65820312,-0.85756677
8,336,344,0.671875,-0.95348837
6,348,354,0.69140625,-0.96610169
8,339,347,0.67773438,-0.95389049
0,353,353,0.68945312,-1
2,355,357,0.69726562,-0.98879552
25,338,363,0.70898438,-0.86225895
31,301,332,0.6484375,-0.81325301
20,326,346,0.67578125,-0.88439306
16,337,353,0.68945312,-0.90934844
6,344,350,0.68359375,-0.96571429
8,341,349,0.68164062,-0.95415473
10,343,353,0.68945312,-0.94334278
24,328,352,0.6875,-0.86363636
4,342,346,0.67578125,-0.97687861
9,340,349,0.68164062,-0.94842407
0,340,340,0.6640625,-1
26,326,352,0.6875,-0.85227273
11,327,338,0.66015625,-0.93491124
21,326,347,0.67773438,-0.87896254
24,314,338,0.66015625,-0.85798817
31,325,356,0.6953125,-0.8258427
25,322,347,0.67773438,-0.85590778
27,310,337,0.65820312,-0.83976261
18,321,339,0.66210938,-0.89380531
18,333,351,0.68554688,-0.8974359
0,355,355,0.69335938,-1
1,361,362,0.70703125,-0.99447514
0,354,354,0.69140625,-1
2,345,347,0.67773438,-0.98847262
14,330,344,0.671875,-0.91860465
20,320,340,0.6640625,-0.88235294
13,337,350,0.68359375,-0.92571429
6,335,341,0.66601562,-0.96480938
0,356,356,0.6953125,-1
4,349,353,0.68945312,-0.97733711
5,346,351,0.68554688,-0.97150997
6,342,348,0.6796875,-0.96551724
3,356,359,0.70117188,-0.98328691
0,356,356,0.6953125,-1
0,349,349,0.68164062,-1
0,352,352,0.6875,-1
6,332,338,0.66015625,-0.96449704
1,337,338,0.66015625,-0.99408284
0,356,356,0.6953125,-1
3,335,338,0.66015625,-0.98224852
3,339,342,0.66796875,-0.98245614
7,354,361,0.70507812,-0.96121884
6,346,352,0.6875,-0.96590909
28,314,342,0.66796875,-0.83625731
30,319,349,0.68164062,-0.82808023
38,299,337,0.65820312,-0.77448071
16,335,351,0.68554688,-0.90883191
25,320,345,0.67382812,-0.85507246
24,335,359,0.70117188,-0.86629526
4,346,350,0.68359375,-0.97714286
9,345,354,0.69140625,-0.94915254
0,369,369,0.72070312,-1
9,342,351,0.68554688,-0.94871795
1,358,359,0.70117188,-0.99442897
8,353,361,0.70507812,-0.95567867
16,328,344,0.671875,-0.90697674
2,357,359,0.70117188,-0.98885794
14,327,341,0.66601562,-0.91788856
16,340,356,0.6953125,-0.91011236
23,335,358,0.69921875,-0.87150838
9,359,368,0.71875,-0.95108696
13,345,358,0.69921875,-0.9273743
26,331,357,0.69726562,-0.85434174
22,336,358,0.69921875,-0.87709497
32,308,340,0.6640625,-0.81176471
13,333,346,0.67578125,-0.92485549
11,336,347,0.67773438,-0.93659942
14,335,349,0.68164062,-0.91977077
15,328,343,0.66992188,-0.91253644
5,344,349,0.68164062,-0.9713467
0,358,358,0.69921875,-1
1,348,349,0.68164062,-0.99426934
5,339,344,0.671875,-0.97093023
0,348,348,0.6796875,-1
4,348,352,0.6875,-0.97727273
8,347,355,0.69335938,-0.95492958
7,345,352,0.6875,-0.96022727
1,350,351,0.68554688,-0.99430199
20,335,355,0.69335938,-0.88732394
18,331,349,0.68164062,-0.89684814
3,341,344,0.671875,-0.98255814
1,349,350,0.68359375,-0.99428571
6,344,350,0.68359375,-0.96571429
10,335,345,0.67382812,-0.94202899
12,337,349,0.68164062,-0.93123209
17,338,355,0.69335938,-0.90422535
38,312,350,0.68359375,-0.78285714
16,335,351,0.68554688,-0.90883191
22,324,346,0.67578125,-0.87283237
9,353,362,0.70703125,-0.95027624
6,342,348,0.6796875,-0.96551724
5,347,352,0.6875,-0.97159091
0,353,353,0.68945312,-1
7,346,353,0.68945312,-0.96033994
2,350,352,0.6875,-0.98863636
9,339,348,0.6796875,-0.94827586
38,297,335,0.65429688,-0.77313433
21,331,352,0.6875,-0.88068182
33,308,341,0.66601562,-0.80645161
41,296,337,0.65820312,-0.75667656
46,292,338,0.66015625,-0.72781065
28,324,352,0.6875,-0.84090909
11,340,351,0.68554688,-0.93732194
15,335,350,0.68359375,-0.91428571
11,350,361,0.70507812,-0.93905817
16,335,351,0.68554688,-0.90883191
11,343,354,0.69140625,-0.93785311
1,351,352,0.6875,-0.99431818
0,356,356,0.6953125,-1
4,337,341,0.66601562,-0.97653959
10,351,361,0.70507812,-0.94459834
6,350,356,0.6953125,-0.96629213
0,363,363,0.70898438,-1
16,334,350,0.68359375,-0.90857143
7,344,351,0.68554688,-0.96011396
1,357,358,0.69921875,-0.99441341
18,318,336,0.65625,-0.89285714
7,341,348,0.6796875,-0.95977011
10,339,349,0.68164062,-0.94269341
9,345,354,0.69140625,-0.94915254
11,337,348,0.6796875,-0.93678161
4,356,360,0.703125,-0.97777778
3,352,355,0.69335938,-0.98309859
0,345,345,0.67382812,-1
20,329,349,0.68164062,-0.88538682
22,318,340,0.6640625,-0.87058824
25,331,356,0.6953125,-0.85955056
28,315,343,0.66992188,-0.83673469
25,320,345,0.67382812,-0.85507246
9,343,352,0.6875,-0.94886364
7,344,351,0.68554688,-0.96011396
1,364,365,0.71289062,-0.99452055
13,334,347,0.67773438,-0.92507205
0,355,355,0.69335938,-1
0,352,352,0.6875,-1
1,352,353,0.68945312,-0.99433428
11,331,342,0.66796875,-0.93567251
34,310,344,0.671875,-0.80232558
27,321,348,0.6796875,-0.84482759
22,323,345,0.67382812,-0.87246377
31,317,348,0.6796875,-0.82183908
21,326,347,0.67773438,-0.87896254
23,326,349,0.68164062,-0.86819484
14,333,347,0.67773438,-0.91930836
4,343,347,0.67773438,-0.97694524
5,342,347,0.67773438,-0.97118156
4,351,355,0.69335938,-0.97746479
1,351,352,0.6875,-0.99431818
32,312,344,0.671875,-0.81395349
42,288,330,0.64453125,-0.74545455
38,308,346,0.67578125,-0.78034682
39,299,338,0.66015625,-0.76923077
31,315,346,0.67578125,-0.82080925
12,337,349,0.68164062,-0.93123209
21,336,357,0.69726562,-0.88235294
29,309,338,0.66015625,-0.82840237
59,283,342,0.66796875,-0.65497076
41,309,350,0.68359375,-0.76571429
22,334,356,0.6953125,-0.87640449
14,336,350,0.68359375,-0.92
9,340,349,0.68164062,-0.94842407
10,339,349,0.68164062,-0.94269341
6,351,357,0.69726562,-0.96638655
3,362,365,0.71289062,-0.98356164
21,321,342,0.66796875,-0.87719298
10,335,345,0.67382812,-0.94202899
17,339,356,0.6953125,-0.90449438
0,360,360,0.703125,-1
1,349,350,0.68359375,-0.99428571
1,346,347,0.67773438,-0.99423631
0,364,364,0.7109375,-1
18,333,351,0.68554688,-0.8974359
15,331,346,0.67578125,-0.9132948
27,312,339,0.66210938,-0.84070796
11,328,339,0.66210938,-0.93510324
8,340,348,0.6796875,-0.95402299
4,350,354,0.69140625,-0.97740113
7,337,344,0.671875,-0.95930233
12,338,350,0.68359375,-0.93142857
3,347,350,0.68359375,-0.98285714
5,344,349,0.68164062,-0.9713467
18,324,342,0.66796875,-0.89473684
11,327,338,0.66015625,-0.93491124
20,336,356,0.6953125,-0.88764045
26,321,347,0.67773438,-0.85014409
19,326,345,0.67382812,-0.88985507
33,323,356,0.6953125,-0.81460674
29,314,343,0.66992188,-0.83090379
5,342,347,0.67773438,-0.97118156
5,350,355,0.69335938,-0.97183099
7,347,354,0.69140625,-0.96045198
4,354,358,0.69921875,-0.97765363
16,330,346,0.67578125,-0.90751445
0,351,351,0.68554688,-1
7,331,338,0.66015625,-0.95857988
2,353,355,0.69335938,-0.98873239
10,333,343,0.66992188,-0.94169096
8,351,359,0.70117188,-0.95543175
0,358,358,0.69921875,-1
6,342,348,0.6796875,-0.96551724
0,350,350,0.68359375,-1
7,344,351,0.68554688,-0.96011396
10,349,359,0.70117188,-0.94428969
5,354,359,0.70117188,-0.97214485
2,347,349,0.68164062,-0.98853868
7,349,356,0.6953125,-0.96067416
4,336,340,0.6640625,-0.97647059
1,351,352,0.6875,-0.99431818
1,346,347,0.67773438,-0.99423631
10,337,347,0.67773438,-0.94236311
41,308,349,0.68164062,-0.76504298
35,304,339,0.66210938,-0.79351032
52,282,334,0.65234375,-0.68862275
56,288,344,0.671875,-0.6744186
70,270,340,0.6640625,-0.58823529
53,282,335,0.65429688,-0.68358209
53,283,336,0.65625,-0.68452381
30,325,355,0.69335938,-0.83098592
42,298,340,0.6640625,-0.75294118
39,312,351,0.68554688,-0.77777778
35,304,339,0.66210938,-0.79351032
23,329,352,0.6875,-0.86931818
7,340,347,0.67773438,-0.95965418
16,337,353,0.68945312,-0.90934844
11,341,352,0.6875,-0.9375
4,347,351,0.68554688,-0.97720798
0,349,349,0.68164062,-1
9,328,337,0.65820312,-0.94658754
29,315,344,0.671875,-0.83139535
15,329,344,0.671875,-0.9127907
1,351,352,0.6875,-0.99431818
5,345,350,0.68359375,-0.97142857
6,355,361,0.70507812,-0.966759
0,346,346,0.67578125,-1
0,363,363,0.70898438,-1
19,327,346,0.67578125,-0.89017341
55,286,341,0.66601562,-0.67741935
39,305,344,0.671875,-0.77325581
30,320,350,0.68359375,-0.82857143
13,332,345,0.67382812,-0.92463768
21,328,349,0.68164062,-0.87965616
20,330,350,0.68359375,-0.88571429
4,347,351,0.68554688,-0.97720798
0,357,357,0.69726562,-1
13,336,349,0.68164062,-0.92550143
8,336,344,0.671875,-0.95348837
38,302,340,0.6640625,-0.77647059
40,311,351,0.68554688,-0.77207977
34,311,345,0.67382812,-0.80289855
39,314,353,0.68945312,-0.77903683
23,320,343,0.66992188,-0.86588921
14,323,337,0.65820312,-0.91691395
16,325,341,0.66601562,-0.90615836
8,336,344,0.671875,-0.95348837
18,337,355,0.69335938,-0.89859155
6,352,358,0.69921875,-0.96648045
8,352,360,0.703125,-0.95555556
9,345,354,0.69140625,-0.94915254
1,348,349,0.68164062,-0.99426934
4,347,351,0.68554688,-0.97720798
11,343,354,0.69140625,-0.93785311
15,331,346,0.67578125,-0.9132948
17,331,348,0.6796875,-0.90229885
7,341,348,0.6796875,-0.95977011
10,345,355,0.69335938,-0.94366197
12,345,357,0.69726562,-0.93277311
5,340,345,0.67382812,-0.97101449
9,339,348,0.6796875,-0.94827586
1,348,349,0.68164062,-0.99426934
18,322,340,0.6640625,-0.89411765
12,331,343,0.66992188,-0.93002915
34,311,345,0.67382812,-0.80289855
12,328,340,0.6640625,-0.92941176
0,346,346,0.67578125,-1
5,341,346,0.67578125,-0.97109827
1,343,344,0.671875,-0.99418605
16,325,341,0.66601562,-0.90615836
1,350,351,0.68554688,-0.99430199
17,340,357,0.69726562,-0.9047619
15,332,347,0.67773438,-0.91354467
7,361,368,0.71875,-0.96195652
0,362,362,0.70703125,-1
2,347,349,0.68164062,-0.98853868
37,316,353,0.68945312,-0.79036827
26,309,335,0.65429688,-0.84477612
6,345,351,0.68554688,-0.96581197
5,348,353,0.68945312,-0.97167139
3,346,349,0.68164062,-0.98280802
14,332,346,0.67578125,-0.91907514
9,331,340,0.6640625,-0.94705882
30,318,348,0.6796875,-0.82758621
41,295,336,0.65625,-0.75595238
35,307,342,0.66796875,-0.79532164
37,299,336,0.65625,-0.7797619
57,287,344,0.671875,-0.66860465
60,290,350,0.68359375,-0.65714286
43,293,336,0.65625,-0.74404762
23,328,351,0.68554688,-0.86894587
43,297,340,0.6640625,-0.74705882
28,329,357,0.69726562,-0.84313725
11,338,349,0.68164062,-0.93696275
2,346,348,0.6796875,-0.98850575
2,352,354,0.69140625,-0.98870056
9,339,348,0.6796875,-0.94827586
6,338,344,0.671875,-0.96511628
13,332,345,0.67382812,-0.92463768
28,317,345,0.67382812,-0.83768116
28,321,349,0.68164062,-0.83954155
2,347,349,0.68164062,-0.98853868
0,347,347,0.67773438,-1
4,342,346,0.67578125,-0.97687861
4,348,352,0.6875,-0.97727273
2,347,349,0.68164062,-0.98853868
0,350,350,0.68359375,-1
4,344,348,0.6796875,-0.97701149
6,359,365,0.71289062,-0.96712329
2,353,355,0.69335938,-0.98873239
2,355,357,0.69726562,-0.98879552
0,337,337,0.65820312,-1
0,353,353,0.68945312,-1
28,318,346,0.67578125,-0.83815029
9,336,345,0.67382812,-0.94782609
14,332,346,0.67578125,-0.91907514
38,305,343,0.66992188,-0.77842566
8,345,353,0.68945312,-0.95467422
5,348,353,0.68945312,-0.97167139
23,321,344,0.671875,-0.86627907
25,316,341,0.66601562,-0.85337243
12,338,350,0.68359375,-0.93142857
8,339,347,0.67773438,-0.95389049
0,358,358,0.69921875,-1
5,353,358,0.69921875,-0.97206704
13,339,352,0.6875,-0.92613636
8,341,349,0.68164062,-0.95415473
8,340,348,0.6796875,-0.95402299
1,345,346,0.67578125,-0.99421965
5,343,348,0.6796875,-0.97126437
1,347,348,0.6796875,-0.99425287
9,348,357,0.69726562,-0.94957983
16,337,353,0.68945312,-0.90934844
6,340,346,0.67578125,-0.96531792
4,356,360,0.703125,-0.97777778
11,345,356,0.6953125,-0.93820225
23,321,344,0.671875,-0.86627907
8,343,351,0.68554688,-0.95441595
2,353,355,0.69335938,-0.98873239
1,352,353,0.68945312,-0.99433428
17,327,344,0.671875,-0.90116279
34,316,350,0.68359375,-0.80571429
22,328,350,0.68359375,-0.87428571
10,337,347,0.67773438,-0.94236311
0,361,361,0.70507812,-1
3,340,343,0.66992188,-0.98250729
7,339,346,0.67578125,-0.95953757
3,352,355,0.69335938,-0.98309859
19,328,347,0.67773438,-0.89048991
6,344,350,0.68359375,-0.96571429
0,360,360,0.703125,-1
10,332,342,0.66796875,-0.94152047
2,344,346,0.67578125,-0.98843931
17,322,339,0.66210938,-0.89970501
10,335,345,0.67382812,-0.94202899
24,327,351,0.68554688,-0.86324786
12,326,338,0.66015625,-0.92899408
10,336,346,0.67578125,-0.94219653
14,334,348,0.6796875,-0.91954023
10,334,344,0.671875,-0.94186047
0,359,359,0.70117188,-1
5,344,349,0.68164062,-0.9713467
6,335,341,0.66601562,-0.96480938
0,361,361,0.70507812,-1
8,339,347,0.67773438,-0.95389049
9,343,352,0.6875,-0.94886364
3,348,351,0.68554688,-0.98290598
0,349,349,0.68164062,-1
1,360,361,0.70507812,-0.99445983
2,351,353,0.68945312,-0.98866856
3,353,356,0.6953125,-0.98314607
7,336,343,0.66992188,-0.95918367
10,344,354,0.69140625,-0.94350282
14,337,351,0.68554688,-0.92022792
23,316,339,0.66210938,-0.86430678
25,323,348,0.6796875,-0.85632184
27,326,353,0.68945312,-0.8470255
46,294,340,0.6640625,-0.72941176
17,334,351,0.68554688,-0.9031339
30,311,341,0.66601562,-0.82404692
25,318,343,0.66992188,-0.85422741
27,316,343,0.66992188,-0.8425656
44,303,347,0.67773438,-0.74639769
27,318,345,0.67382812,-0.84347826
29,316,345,0.67382812,-0.83188406
27,324,351,0.68554688,-0.84615385
19,335,354,0.69140625,-0.89265537
4,351,355,0.69335938,-0.97746479
9,338,347,0.67773438,-0.9481268
9,341,350,0.68359375,-0.94857143
6,336,342,0.66796875,-0.96491228
30,311,341,0.66601562,-0.82404692
29,315,344,0.671875,-0.83139535
17,338,355,0.69335938,-0.90422535
23,324,347,0.67773438,-0.86743516
7,345,352,0.6875,-0.96022727
7,334,341,0.66601562,-0.95894428
10,348,358,0.69921875,-0.94413408
4,334,338,0.66015625,-0.97633136
13,327,340,0.6640625,-0.92352941
15,333,348,0.6796875,-0.9137931
1,336,337,0.65820312,-0.99406528
22,325,347,0.67773438,-0.87319885
5,340,345,0.67382812,-0.97101449
4,346,350,0.68359375,-0.97714286
1,351,352,0.6875,-0.99431818
6,347,353,0.68945312,-0.96600567
27,316,343,0.66992188,-0.8425656
7,335,342,0.66796875,-0.95906433
4,347,351,0.68554688,-0.97720798
1,339,340,0.6640625,-0.99411765
5,340,345,0.67382812,-0.97101449
43,305,348,0.6796875,-0.75287356
34,304,338,0.66015625,-0.79881657
43,287,330,0.64453125,-0.73939394
39,308,347,0.67773438,-0.77521614
15,323,338,0.66015625,-0.9112426
0,344,344,0.671875,-1
8,355,363,0.70898438,-0.95592287
4,335,339,0.66210938,-0.97640118
0,342,342,0.66796875,-1
4,361,365,0.71289062,-0.97808219
5,341,346,0.67578125,-0.97109827
13,340,353,0.68945312,-0.92634561
6,351,357,0.69726562,-0.96638655
5,332,337,0.65820312,-0.97032641
12,333,345,0.67382812,-0.93043478
0,354,354,0.69140625,-1
0,362,362,0.70703125,-1
3,340,343,0.66992188,-0.98250729
1,352,353,0.68945312,-0.99433428
4,354,358,0.69921875,-0.97765363
4,338,342,0.66796875,-0.97660819
0,350,350,0.68359375,-1
3,343,346,0.67578125,-0.98265896
0,350,350,0.68359375,-1
1,350,351,0.68554688,-0.99430199
4,352,356,0.6953125,-0.97752809
10,338,348,0.6796875,-0.94252874
15,340,355,0.69335938,-0.91549296
17,331,348,0.6796875,-0.90229885
0,354,354,0.69140625,-1
11,327,338,0.66015625,-0.93491124
10,344,354,0.69140625,-0.94350282
8,354,362,0.70703125,-0.9558011
6,353,359,0.70117188,-0.96657382
12,339,351,0.68554688,-0.93162393
3,343,346,0.67578125,-0.98265896
21,320,341,0.66601562,-0.87683284
15,323,338,0.66015625,-0.9112426
15,342,357,0.69726562,-0.91596639
3,346,349,0.68164062,-0.98280802
3,349,352,0.6875,-0.98295455
12,334,346,0.67578125,-0.93063584
0,353,353,0.68945312,-1
3,341,344,0.671875,-0.98255814
18,318,336,0.65625,-0.89285714
25,309,334,0.65234375,-0.8502994
30,308,338,0.66015625,-0.82248521
13,330,343,0.66992188,-0.92419825
3,353,356,0.6953125,-0.98314607
22,327,349,0.68164062,-0.8739255
32,314,346,0.67578125,-0.8150289
22,323,345,0.67382812,-0.87246377
1,352,353,0.68945312,-0.99433428
1,345,346,0.67578125,-0.99421965
6,350,356,0.6953125,-0.96629213
1,346,347,0.67773438,-0.99423631
9,341,350,0.68359375,-0.94857143
16,328,344,0.671875,-0.90697674
25,323,348,0.6796875,-0.85632184
26,311,337,0.65820312,-0.84569733
19,328,347,0.67773438,-0.89048991
1,353,354,0.69140625,-0.99435028
10,345,355,0.69335938,-0.94366197
8,343,351,0.68554688,-0.95441595
2,351,353,0.68945312,-0.98866856
0,347,347,0.67773438,-1
5,337,342,0.66796875,-0.97076023
6,341,347,0.67773438,-0.96541787
0,351,351,0.68554688,-1
12,338,350,0.68359375,-0.93142857
9,332,341,0.66601562,-0.94721408
13,328,341,0.66601562,-0.92375367
1,364,365,0.71289062,-0.99452055
14,322,336,0.65625,-0.91666667
22,317,339,0.66210938,-0.87020649
18,329,347,0.67773438,-0.8962536
0,345,345,0.67382812,-1
1,345,346,0.67578125,-0.99421965
14,333,347,0.67773438,-0.91930836
5,345,350,0.68359375,-0.97142857
5,348,353,0.68945312,-0.97167139
6,350,356,0.6953125,-0.96629213
16,332,348,0.6796875,-0.90804598
13,335,348,0.6796875,-0.92528736
14,333,347,0.67773438,-0.91930836
23,327,350,0.68359375,-0.86857143
29,312,341,0.66601562,-0.82991202
68,280,348,0.6796875,-0.6091954
87,250,337,0.65820312,-0.48367953
105,235,340,0.6640625,-0.38235294
91,257,348,0.6796875,-0.47701149
91,253,344,0.671875,-0.47093023
125,206,331,0.64648438,-0.24471299
117,224,341,0.66601562,-0.31378299
110,240,350,0.68359375,-0.37142857
97,250,347,0.67773438,-0.44092219
108,225,333,0.65039062,-0.35135135
95,257,352,0.6875,-0.46022727
74,272,346,0.67578125,-0.57225434
44,300,344,0.671875,-0.74418605
11,336,347,0.67773438,-0.93659942
36,314,350,0.68359375,-0.79428571
72,277,349,0.68164062,-0.58739255
38,310,348,0.6796875,-0.7816092
36,302,338,0.66015625,-0.78698225
19,342,361,0.70507812,-0.89473684
0,353,353,0.68945312,-1
2,350,352,0.6875,-0.98863636
0,348,348,0.6796875,-1
3,347,350,0.68359375,-0.98285714
5,360,365,0.71289062,-0.97260274
11,341,352,0.6875,-0.9375
7,356,363,0.70898438,-0.96143251
11,339,350,0.68359375,-0.93714286
24,333,357,0.69726562,-0.86554622
16,333,349,0.68164062,-0.90830946
4,343,347,0.67773438,-0.97694524
2,342,344,0.671875,-0.98837209
0,349,349,0.68164062,-1
10,344,354,0.69140625,-0.94350282
5,351,356,0.6953125,-0.97191011
0,347,347,0.67773438,-1
7,342,349,0.68164062,-0.95988539
3,343,346,0.67578125,-0.98265896
2,344,346,0.67578125,-0.98843931
4,351,355,0.69335938,-0.97746479
6,348,354,0.69140625,-0.96610169
10,338,348,0.6796875,-0.94252874
6,333,339,0.66210938,-0.96460177
8,332,340,0.6640625,-0.95294118
16,316,332,0.6484375,-0.90361446
5,344,349,0.68164062,-0.9713467
4,332,336,0.65625,-0.97619048
4,330,334,0.65234375,-0.9760479
2,341,343,0.66992188,-0.98833819
0,355,355,0.69335938,-1
6,350,356,0.6953125,-0.96629213
7,341,348,0.6796875,-0.95977011
1,353,354,0.69140625,-0.99435028
3,346,349,0.68164062,-0.98280802
3,333,336,0.65625,-0.98214286
0,355,355,0.69335938,-1
3,347,350,0.68359375,-0.98285714
11,344,355,0.69335938,-0.93802817
5,352,357,0.69726562,-0.9719888
10,335,345,0.67382812,-0.94202899
2,341,343,0.66992188,-0.98833819
0,357,357,0.69726562,-1
14,331,345,0.67382812,-0.91884058
15,349,364,0.7109375,-0.91758242
16,340,356,0.6953125,-0.91011236
16,331,347,0.67773438,-0.90778098
25,319,344,0.671875,-0.85465116
27,321,348,0.6796875,-0.84482759
10,341,351,0.68554688,-0.94301994
4,343,347,0.67773438,-0.97694524
8,338,346,0.67578125,-0.95375723
2,353,355,0.69335938,-0.98873239
27,314,341,0.66601562,-0.84164223
23,315,338,0.66015625,-0.86390533
10,337,347,0.67773438,-0.94236311
14,333,347,0.67773438,-0.91930836
1,340,341,0.66601562,-0.9941349
6,351,357,0.69726562,-0.96638655
6,342,348,0.6796875,-0.96551724
10,337,347,0.67773438,-0.94236311
39,315,354,0.69140625,-0.77966102
47,288,335,0.65429688,-0.71940299
25,323,348,0.6796875,-0.85632184
35,303,338,0.66015625,-0.79289941
0,361,361,0.70507812,-1
15,337,352,0.6875,-0.91477273
11,332,343,0.66992188,-0.93586006
8,351,359,0.70117188,-0.95543175
14,336,350,0.68359375,-0.92
33,311,344,0.671875,-0.80813953
18,329,347,0.67773438,-0.8962536
14,338,352,0.6875,-0.92045455
3,350,353,0.68945312,-0.98300283
10,344,354,0.69140625,-0.94350282
9,353,362,0.70703125,-0.95027624
8,337,345,0.67382812,-0.95362319
14,339,353,0.68945312,-0.92067989
20,331,351,0.68554688,-0.88603989
21,316,337,0.65820312,-0.87537092
16,343,359,0.70117188,-0.91086351
6,337,343,0.66992188,-0.96501458
4,349,353,0.68945312,-0.97733711
0,347,347,0.67773438,-1
1,354,355,0.69335938,-0.9943662
31,320,351,0.68554688,-0.82336182
47,295,342,0.66796875,-0.7251462
45,307,352,0.6875,-0.74431818
