n_hor,n_ver,n_tot,eta,S
148,196,344,0.671875,-0.13953488
105,237,342,0.66796875,-0.38596491
126,215,341,0.66601562,-0.26099707
200,147,347,0.67773438,0.15273775
195,149,344,0.671875,0.13372093
163,166,329,0.64257812,-0.009118541
152,183,335,0.65429688,-0.092537313
183,161,344,0.671875,0.063953488
210,134,344,0.671875,0.22093023
218,129,347,0.67773438,0.25648415
228,112,340,0.6640625,0.34117647
229,110,339,0.66210938,0.35103245
269,73,342,0.66796875,0.57309942
269,73,342,0.66796875,0.57309942
262,80,342,0.66796875,0.53216374
297,56,353,0.68945312,0.68271955
291,49,340,0.6640625,0.71176471
269,78,347,0.67773438,0.55043228
323,27,350,0.68359375,0.84571429
350,5,355,0.69335938,0.97183099
349,0,349,0.68164062,1
356,0,356,0.6953125,1
347,14,361,0.70507812,0.92243767
324,21,345,0.67382812,0.87826087
346,16,362,0.70703125,0.91160221
349,8,357,0.69726562,0.95518207
354,1,355,0.69335938,0.9943662
323,16,339,0.66210938,0.90560472
343,8,351,0.68554688,0.95441595
353,2,355,0.69335938,0.98873239
337,6,343,0.66992188,0.96501458
346,7,353,0.68945312,0.96033994
349,7,356,0.6953125,0.96067416
331,14,345,0.67382812,0.91884058
343,12,355,0.69335938,0.93239437
349,0,349,0.68164062,1
345,6,351,0.68554688,0.96581197
351,7,358,0.69921875,0.96089385
321,16,337,0.65820312,0.90504451
331,23,354,0.69140625,0.8700565
354,2,356,0.6953125,0.98876404
341,5,346,0.67578125,0.97109827
343,5,348,0.6796875,0.97126437
340,1,341,0.66601562,0.9941349
328,19,347,0.67773438,0.89048991
344,6,350,0.68359375,0.96571429
347,1,348,0.6796875,0.99425287
338,4,342,0.66796875,0.97660819
353,0,353,0.68945312,1
338,7,345,0.67382812,0.95942029
344,4,348,0.6796875,0.97701149
339,10,349,0.68164062,0.94269341
349,0,349,0.68164062,1
350,4,354,0.69140625,0.97740113
345,9,354,0.69140625,0.94915254
340,4,344,0.671875,0.97674419
352,2,354,0.69140625,0.98870056
354,0,354,0.69140625,1
343,10,353,0.68945312,0.94334278
328,17,345,0.67382812,0.90144928
348,4,352,0.6875,0.97727273
346,11,357,0.69726562,0.93837535
342,10,352,0.6875,0.94318182
332,12,344,0.671875,0.93023256
331,11,342,0.66796875,0.93567251
346,6,352,0.6875,0.96590909
321,16,337,0.65820312,0.90504451
330,16,346,0.67578125,0.90751445
354,5,359,0.70117188,0.97214485
326,18,344,0.671875,0.89534884
315,20,335,0.65429688,0.88059701
316,34,350,0.68359375,0.80571429
316,31,347,0.67773438,0.82132565
319,26,345,0.67382812,0.84927536
335,17,352,0.6875,0.90340909
317,37,354,0.69140625,0.79096045
308,31,339,0.66210938,0.81710914
293,48,341,0.66601562,0.71847507
294,41,335,0.65429688,0.75522388
315,32,347,0.67773438,0.81556196
322,22,344,0.671875,0.87209302
360,2,362,0.70703125,0.98895028
337,8,345,0.67382812,0.95362319
328,9,337,0.65820312,0.94658754
363,2,365,0.71289062,0.9890411
342,3,345,0.67382812,0.9826087
335,12,347,0.67773438,0.93083573
353,9,362,0.70703125,0.95027624
318,17,335,0.65429688,0.89850746
335,8,343,0.66992188,0.95335277
339,8,347,0.67773438,0.95389049
344,3,347,0.67773438,0.98270893
313,20,333,0.65039062,0.87987988
340,5,345,0.67382812,0.97101449
343,11,354,0.69140625,0.93785311
348,3,351,0.68554688,0.98290598
341,4,345,0.67382812,0.97681159
351,0,351,0.68554688,1
348,5,353,0.68945312,0.97167139
